"variable","ccodealp","year","metric","value"
"SI.DST.10TH.10","POL",1996,"value.u",0.628436018957346
"SI.DST.10TH.10","POL",1998,"value.u",0.569668246445498
"SI.DST.10TH.10","POL",1999,"value.u",0.564928909952607
"SI.DST.10TH.10","POL",2001,"value.u",0.559241706161137
"SI.DST.10TH.10","POL",2002,"value.u",0.652132701421801
"SI.DST.10TH.10","POL",2004,"value.u",0.678672985781991
"SI.DST.10TH.10","POL",2005,"value.u",0.674881516587678
"SI.DST.10TH.10","POL",2006,"value.u",0.617061611374408
"SI.DST.10TH.10","POL",2007,"value.u",0.625592417061611
"SI.DST.10TH.10","SWE",1992,"value.u",0.0293838862559241
"SI.DST.10TH.10","SWE",1995,"value.u",0.024644549763033
"SI.DST.10TH.10","SWE",2005,"value.u",0.14218009478673
"SI.DST.10TH.10","UKR",1992,"value.u",0.0909952606635069
"SI.DST.10TH.10","UKR",1995,"value.u",1
"SI.DST.10TH.10","UKR",1996,"value.u",0.74218009478673
"SI.DST.10TH.10","UKR",1999,"value.u",0.317535545023697
"SI.DST.10TH.10","UKR",2002,"value.u",0.314691943127962
"SI.DST.10TH.10","UKR",2003,"value.u",0.33175355450237
"SI.DST.10TH.10","UKR",2004,"value.u",0.310900473933649
"SI.DST.10TH.10","UKR",2005,"value.u",0.314691943127962
"SI.DST.10TH.10","UKR",2006,"value.u",0.387677725118484
"SI.DST.10TH.10","UKR",2007,"value.u",0.381990521327014
"SI.DST.FRST.10","DEU",1994,"value.u",0.516014234875445
"SI.DST.FRST.10","DEU",1994,"value.u",0.516014234875445
"SI.DST.FRST.10","DEU",2004,"value.u",0.523131672597865
"SI.DST.FRST.10","DEU",2004,"value.u",0.523131672597865
"SI.DST.FRST.10","DEU",2007,"value.u",0.533807829181494
"SI.DST.FRST.10","DEU",2007,"value.u",0.533807829181494
"SI.DST.FRST.10","DNK",1992,"value.u",0.540925266903914
"SI.DST.FRST.10","DNK",1995,"value.u",0.871886120996441
"SI.DST.FRST.10","DNK",2004,"value.u",0.736654804270463
"SI.DST.FRST.10","DNK",2007,"value.u",0.597864768683274
"SI.DST.FRST.10","ESP",1995,"value.u",0
"SI.DST.FRST.10","ESP",2004,"value.u",0.163701067615658
"SI.DST.FRST.10","ESP",2007,"value.u",0.124555160142349
"SI.DST.FRST.10","FIN",1995,"value.u",1
"SI.DST.FRST.10","FIN",2004,"value.u",0.711743772241993
"SI.DST.FRST.10","FIN",2007,"value.u",0.686832740213523
"SI.DST.FRST.10","FRA",1994,"value.u",0.476868327402135
"SI.DST.FRST.10","FRA",1994,"value.u",0.476868327402135
"SI.DST.FRST.10","FRA",2005,"value.u",0.441281138790035
"SI.DST.FRST.10","FRA",2005,"value.u",0.441281138790035
"SI.DST.FRST.10","NOR",1995,"value.u",0.583629893238434
"SI.DST.FRST.10","NOR",2004,"value.u",0.580071174377224
"SI.DST.FRST.10","NOR",2007,"value.u",0.615658362989324
"SI.DST.FRST.10","POL",1992,"value.u",0.747330960854092
"SI.DST.FRST.10","POL",1996,"value.u",0.572953736654804
"SI.DST.FRST.10","POL",1998,"value.u",0.551601423487544
"SI.DST.FRST.10","POL",1999,"value.u",0.530249110320285
"SI.DST.FRST.10","POL",2001,"value.u",0.483985765124555
"SI.DST.FRST.10","POL",2002,"value.u",0.451957295373665
"SI.DST.FRST.10","POL",2004,"value.u",0.355871886120996
"SI.DST.FRST.10","POL",2005,"value.u",0.437722419928825
"SI.DST.FRST.10","POL",2006,"value.u",0.469750889679715
"SI.DST.FRST.10","POL",2007,"value.u",0.483985765124555
"SI.DST.FRST.10","SWE",1992,"value.u",0.565836298932384
"SI.DST.FRST.10","SWE",1995,"value.u",0.558718861209964
"SI.DST.FRST.10","SWE",2005,"value.u",0.704626334519573
"SI.DST.FRST.10","UKR",1992,"value.u",0.800711743772242
"SI.DST.FRST.10","UKR",1995,"value.u",0.188612099644128
"SI.DST.FRST.10","UKR",1996,"value.u",0.377224199288256
"SI.DST.FRST.10","UKR",1999,"value.u",0.644128113879003
"SI.DST.FRST.10","UKR",2002,"value.u",0.633451957295374
"SI.DST.FRST.10","UKR",2003,"value.u",0.697508896797153
"SI.DST.FRST.10","UKR",2004,"value.u",0.622775800711744
"SI.DST.FRST.10","UKR",2005,"value.u",0.644128113879003
"SI.DST.FRST.10","UKR",2006,"value.u",0.665480427046263
"SI.DST.FRST.10","UKR",2007,"value.u",0.686832740213523
"SI.POV.5DAY","DEU",1994,"value.u",0.0044467695527073
"SI.POV.5DAY","DEU",1994,"value.u",0.0044467695527073
"SI.POV.5DAY","DEU",2004,"value.u",0.000261574679571017
"SI.POV.5DAY","DEU",2004,"value.u",0.000261574679571017
"SI.POV.5DAY","DEU",2007,"value.u",0.000130787339785509
"SI.POV.5DAY","DEU",2007,"value.u",0.000130787339785509
"SI.POV.5DAY","DNK",1992,"value.u",0.0132095213183364
"SI.POV.5DAY","DNK",1995,"value.u",0
"SI.POV.5DAY","DNK",2004,"value.u",0
"SI.POV.5DAY","DNK",2007,"value.u",0.0044467695527073
"SI.POV.5DAY","ESP",1995,"value.u",0.0610776876798326
"SI.POV.5DAY","ESP",2004,"value.u",0.0307350248495946
"SI.POV.5DAY","ESP",2007,"value.u",0.02184148574418
"SI.POV.5DAY","FIN",1995,"value.u",0.000130787339785509
"SI.POV.5DAY","FIN",2004,"value.u",0.000130787339785509
"SI.POV.5DAY","FIN",2007,"value.u",0
"SI.POV.5DAY","FRA",1994,"value.u",0.000261574679571017
"SI.POV.5DAY","FRA",1994,"value.u",0.000261574679571017
"SI.POV.5DAY","FRA",2005,"value.u",0.0044467695527073
"SI.POV.5DAY","FRA",2005,"value.u",0.0044467695527073
"SI.POV.5DAY","NOR",1995,"value.u",0.00483913157206382
"SI.POV.5DAY","NOR",2004,"value.u",0.000130787339785509
"SI.POV.5DAY","NOR",2007,"value.u",0.0044467695527073
